S4_T,S4_H,S4_R,S4_P,S4_V,S7_T,S7_H,S7_R,S7_P,S7_V,S8_T,S8_H,S8_R,S8_P,S8_V,S9_T,S9_H,S9_R,S9_P,S9_V
-1.570625447,1.653204087,-1.18424265,-0.370927215,-0.760137233,-1.434279456,1.293566517,-1.009767264,-0.370927215,0,-1.775754246,1.341486462,-1.117488636,-0.330122918,-1.360377565,-1.337873199,1.09464544,-0.943362591,-0.370927215,-0.827138098
-1.435386266,1.594228442,-0.823959388,-0.370927215,-1.043676311,-1.102233938,0.768724714,-0.632786743,-0.370927215,0,-1.466604312,1.448041702,-0.615980344,-0.330122918,-0.215926859,-0.830884859,0.549306662,-0.177189584,-0.370927215,-0.464083361
-0.747547257,0.793656512,-0.231473839,-0.370927215,-0.85903398,-0.423407154,0.07975807,0.294282718,-0.370927215,0,-0.703761988,0.790734101,0.571794014,-0.330122918,0.455248991,0.056459026,-0.872711461,1.336822302,-0.370927215,-0.552686005
-0.234653412,0.220125847,0.919733424,-0.370927215,-0.423467455,0.270155377,-0.547919709,1.338110915,-0.370927215,0,0.360055632,-0.35496718,0.710129956,-0.293442594,-0.060214062,0.318867779,-1.436150921,0.893657242,-0.370927215,-0.523511964
-0.159719562,-0.046252473,0.115933165,-0.370927215,0.168334889,0.322549147,-0.412134949,1.083946352,-0.370927215,0,0.470784815,-0.329552608,0.333790079,-0.293442594,-0.25197859,0.095774623,-0.820549396,0.538014314,-0.370927215,0.21502349
0.442736654,-0.762701782,1.005302717,-0.331882245,0.850617236,0.092016559,-0.50575352,0.297259592,-0.331882245,0,0.322526613,-0.34864453,-0.504817358,-0.25676227,-0.617481782,0.686880055,-0.964374028,1.437078068,-0.331882245,0.620218509
0.626638056,-0.799643887,0.836208955,-0.253792305,0.727522348,0.588120069,-0.893434831,0.746182566,-0.253792305,0,0.692614755,-0.706308134,-0.334847277,-0.220081946,-0.52466775,1.077750237,-1.053629116,2.249894975,-0.253792305,0.801745877
1.029668726,-0.915319975,2.073890015,-0.175702365,1.409804695,0.40670664,-0.789360696,-0.321655633,-0.175702365,0,1.099860341,-0.923013847,0.263802206,-0.183401621,-0.506641884,1.461763046,-1.230445139,2.447087697,-0.175702365,0.553226265
1.012651875,-0.920888233,1.18354166,-0.136657395,1.51659214,0.541293137,-0.808483372,-0.2224318,-0.136657395,0,0.622015612,0.478444805,0.864621729,-0.183401621,-1.210801233,1.331472986,-1.050240811,1.54422882,-0.136657395,0.561330166
0.659776133,-0.72755589,-0.095543064,-0.136657395,1.894819594,1.051804934,-1.164041338,0.694604639,-0.136657395,0,0.127078458,0.913529872,-0.230200957,-0.220081946,-0.755168713,1.119351624,-1.0834997,0.543418906,-0.136657395,0.789319896
