S4_T,S4_H,S4_P,S4_V,S7_T,S7_H,S7_P,S7_V,S8_T,S8_H,S8_P,S8_V,S9_T,S9_H,S9_P,S9_V
-0.450428048,-0.662098738,-0.288362531,0.16029002,-0.372187783,-0.239941067,-0.288362531,0,-0.726062182,0.524598072,-0.165393078,0.107874608,-0.35078327,-0.196973471,-0.288362531,0.112992391
-0.708921121,-0.599102936,-0.288362531,0.213720027,-0.439047864,-0.222236045,-0.288362531,0,-0.781687914,0.526337071,-0.165393078,0.588406954,-0.346217761,-0.508466401,-0.288362531,-0.19145933
-0.737298604,-0.611860328,-0.288362531,0.042470005,-0.583663742,-0.103731878,-0.288362531,0,-1.059816572,0.586622374,-0.206741347,0.40742724,-0.245776565,-0.603077093,-0.288362531,-0.956041178
-0.826558687,-0.580708557,-0.288362531,0.546630069,-0.69608773,-0.007494764,-0.288362531,0,-1.309400448,0.602466589,-0.206741347,0.571022203,-0.268604109,-0.667736542,-0.288362531,-0.642173424
1.553022251,-2.666393754,-0.205973236,3.725030469,1.210167462,-2.017829424,-0.205973236,0,1.954951702,-1.722478642,-0.165393078,0.87770704,0.646780433,-1.305169473,-0.205973236,1.8191775
0.706341349,-1.636308547,-0.247167884,2.93317037,0.546023993,-1.259554826,-0.247167884,0,1.441145602,-1.314683345,-0.206741347,0.703413768,0.17729393,-0.731515072,-0.247167884,1.902666323
0.169748944,-0.677328493,-0.288362531,1.616600204,0.406855973,-0.952160883,-0.288362531,0,1.348923994,-1.305408683,-0.248089616,1.37919024,0.331760316,-0.519565979,-0.288362531,0.902683659
0.025797712,-0.258905825,-0.288362531,1.060380134,0.237477102,-0.433610113,-0.288362531,0,1.167408448,-1.091028734,-0.248089616,1.385876682,0.235884628,0.018323114,-0.288362531,0.431882029
-0.087196266,-0.176131121,-0.288362531,0.482240061,0.374664082,-0.622065409,-0.288362531,0,0.974182222,-0.747286572,-0.248089616,1.097022359,-0.056307944,0.038584249,-0.288362531,1.034508116
-0.078425044,-0.366898629,-0.288362531,0.117820015,0.559891269,-1.191015752,-0.288362531,0,-0.117838721,0.494552031,-0.248089616,0.616490013,-0.277735127,-0.720767861,-0.288362531,1.780257899
0.232695361,-1.623155578,-0.288362531,1.863200235,0.133967792,-0.586546745,-0.288362531,0,-0.500631585,0.935774756,-0.248089616,0.849623981,-0.571449535,-0.993324175,-0.288362531,1.691747192
0.353428652,-2.092508918,-0.288362531,2.108430266,-0.126043634,-0.807153493,-0.288362531,0,-0.668972615,0.832207696,-0.248089616,0.616490013,-0.862881189,-0.846386899,-0.288362531,1.451324493
0.038696568,-2.308988998,-0.288362531,0.706920089,-0.264221134,-0.719497341,-0.288362531,0,-1.156429685,0.856746906,-0.248089616,1.11440711,-1.694564734,-1.636218803,-0.288362531,1.020070199
-0.362199874,-2.403037676,-0.288362531,0.738430093,-0.59356894,-1.01429139,-0.288362531,0,-1.345996324,0.917322043,-0.248089616,0.668644266,-1.438135316,-1.562221614,-0.288362531,1.687353044
-0.468486447,-2.449715884,-0.288362531,0.053430007,-0.881314917,-1.017332744,-0.288362531,0,-1.553128982,0.651255176,-0.248089616,1.180825774,-1.731849724,-1.170741246,-0.288362531,1.593820453
-0.562906072,-2.291682459,-0.288362531,0.289070036,-1.014044559,-1.018636181,-0.288362531,0,-1.889079125,0.241141213,-0.206741347,1.06581896,-1.414546853,-1.544250868,-0.288362531,1.8191775
1.309491852,-1.802352428,-0.288362531,2.172820274,1.434024918,-1.919745774,-0.288362531,0,1.56849925,-1.38424331,-0.206741347,1.573988603,1.238013841,-1.094982219,-0.288362531,-0.299429837
0.433401558,-0.589609063,-0.288362531,1.423430179,0.794644442,-0.651827226,-0.288362531,0,1.272072654,-1.08339646,-0.206741347,0.658391721,0.42915784,0.368047925,-0.288362531,0.47080163
0.137243827,-0.092367471,-0.288362531,0.321950041,0.433104746,0.00467065,-0.288362531,0,1.186438304,-0.872591121,-0.206741347,0.324069588,0.390351014,0.574887688,-0.288362531,0.505327083
0.076361227,-0.054194191,-0.288362531,-0.417850053,0.146349288,0.38331916,-0.288362531,0,0.928071418,-0.920413597,-0.206741347,0.776518874,0.340891334,0.580701753,-0.288362531,0.338349438
-0.115057795,0.107795015,-0.288362531,0.546630069,-0.059183553,0.696144091,-0.288362531,0,1.001263171,-0.952295248,-0.206741347,0.571022203,0.241971974,0.580877936,-0.288362531,0.299429837
-0.322471398,0.241203708,-0.288362531,0.171250022,-0.20825677,0.779564072,-0.288362531,0,0.920752243,-0.982824344,-0.206741347,0.466713698,0.13620435,0.580525569,-0.288362531,0.372874891
-0.357556286,0.149330709,-0.288362531,0.171250022,-0.260754315,0.85548929,-0.288362531,0,-0.275932906,0.280268694,-0.248089616,-0.059286458,0.102723951,0.508290217,-0.288362531,0.181415562
-0.591799509,0.44522308,-0.329557178,0.289070036,-0.485602291,0.87417189,-0.329557178,0,-0.562844575,0.701589539,-0.248089616,-0.146210213,0.12402966,0.366109903,-0.329557178,0.284364185
-0.524725458,0.305682928,-0.329557178,-0.117820015,-0.908058949,0.944883359,-0.329557178,0,0.015370268,0.068980299,-0.248089616,0.442196741,0.098158442,-0.109762498,-0.329557178,-0.274948152
-0.629464168,0.471232336,-0.329557178,0.128780016,-0.978385849,0.872542594,-0.329557178,0,-0.74728779,1.080594739,-0.248089616,0.508615405,0.117942314,-0.352191385,-0.329557178,-0.092904855
-0.615533404,0.385095218,-0.329557178,-0.095900012,-1.027416575,0.808022452,-0.329557178,0,-0.74728779,0.88708278,-0.248089616,0.518867951,0.079896406,-0.115048011,-0.329557178,0.024481685
-0.599022868,0.406357538,-0.329557178,-0.331540042,-0.682220454,0.673768419,-0.329557178,0,-0.881960614,1.114022167,-0.248089616,0.849623981,0.061634371,-0.231681676,-0.329557178,-0.195853478
2.157720616,-2.924112844,0.700309003,2.344070295,2.144227554,-3.194833226,0.700309003,0,2.367021267,-1.908937993,0.826965388,0.149776316,1.012021148,-0.555683655,0.700309003,-0.132452192
1.22642322,-1.7344119,0.659114356,1.294650163,1.658377634,-2.66965665,0.659114356,0,1.749282878,-1.504524084,0.909661927,0.059286458,0.926798315,-0.907522672,0.659114356,-1.407383007
0.555166758,-0.981231319,0.659114356,0.727470092,0.999682023,-1.644394663,0.659114356,0,1.626320735,-1.342700553,0.744268849,0.515301848,1.11854969,-1.349391603,0.659114356,-1.034508116
0.338981933,-0.506240992,0.535530414,0.63157008,0.544042954,-0.710047421,0.535530414,0,1.525316117,-1.128610438,0.413482694,0.090489857,0.528838119,0.121214443,0.535530414,-0.519765
0.121249246,-0.141221359,0.45314112,0.55622007,0.374664082,-0.423073995,0.45314112,0,1.208395829,-0.731055914,0.330786155,-0.062852561,0.42915784,0.162265265,0.45314112,0.151911993
-0.056239012,0.184734943,0.329557178,0.502790063,-0.323652317,0.324230006,0.329557178,0,1.283051417,-0.784964887,0.206741347,0.954378249,0.413939477,0.147994379,0.329557178,0.392334692
-0.184195662,0.530074569,0.164778589,0.642530081,-0.195380014,0.690713103,0.164778589,0,1.016633439,-0.910366046,0.041348269,1.06581896,0.483183029,0.2086016,0.164778589,0.146890109
-0.273455745,0.696316238,0,0.524710066,-0.083451286,0.711676718,0,0,0.797790099,-0.607683586,-0.041348269,0.316937382,0.458833648,0.405222704,0,0.873180091
-0.347753155,0.759707619,-0.082389295,0.782270099,0.080974987,0.580464038,-0.082389295,0,-0.034400124,0.743808574,-0.124044808,0.090489857,0.337086743,0.580525569,-0.082389295,1.598842337
-0.34465743,0.748235856,-0.164778589,0.439770055,-0.007181268,0.807696592,-0.164778589,0,-0.298622349,1.28154575,-0.165393078,-0.42481199,0.275452373,0.580701753,-0.164778589,1.294390616
-0.338465979,0.714809512,-0.205973236,0.150700019,-0.042344718,0.856575488,-0.205973236,0,0.009514928,0.719655808,-0.165393078,0.115006814,0.203165148,0.580701753,-0.205973236,1.613280254
-0.380258272,0.783145617,-0.205973236,-0.064390008,-0.060669333,0.813887919,-0.205973236,0,-0.040987381,0.190323794,-0.165393078,0.762700226,0.160553731,0.580701753,-0.205973236,1.927148007
0.658357605,-0.834175184,0.205973236,1.659070209,0.747594755,-0.45359615,0.205973236,0,1.083969851,-0.283263637,0.124044808,0.616490013,0.329477562,0.579997017,0.205973236,2.001220797
0.025281758,0.105025969,0.123583942,0.620610078,0.548995552,-0.192256989,0.123583942,0,0.685074801,-0.090331344,0.124044808,0.212628877,0.305889099,0.580877936,0.123583942,1.220945562
-0.122281154,0.13993573,0,-0.309620039,0.090384924,0.356055598,0,0,0.556257317,-0.213317227,0,0.553637452,0.190229539,0.580877936,0,0.102948623
-0.245078262,0.347811988,-0.123583942,-0.010960001,0.026991662,0.583396772,-0.123583942,0,0.64994276,-0.514164077,-0.082696539,0.160028861,0.311976444,0.58105412,-0.123583942,1.760798098
-0.302865137,0.625903348,-0.123583942,-0.39593005,0.046306797,0.67811321,-0.123583942,0,0.56723608,-0.132550378,-0.082696539,0.055720356,0.263277682,0.58105412,-0.123583942,2.540445598
-0.37148705,0.780772149,-0.123583942,-0.020550003,0.203304172,0.32727136,-0.123583942,0,-0.346196988,1.174114248,-0.082696539,0.18811192,0.20620882,0.58105412,-0.123583942,1.765192246
-0.474161943,0.895687569,-0.082389295,0.771310097,0.34643427,-0.202684486,-0.082389295,0,0.777296409,-0.618117581,-0.041348269,1.4732462,0.128595168,0.580877936,-0.082389295,0.819194837
-0.474677897,0.804803515,-0.041194647,0.021920003,0.409827532,-0.590239817,-0.041194647,0,0.777296409,-0.679175773,0.082696539,0.895091791,0.061634371,0.580877936,-0.041194647,0.195853478
-0.514406374,0.758817568,0,-0.213720027,-0.043335238,0.255147834,0,0,0.701176986,-0.755884957,0.206741347,0.553637452,0.084461915,0.580877936,0,0.465779746
-0.528853092,0.776321896,0.041194647,-0.823370104,-0.099299601,0.453053051,0.041194647,0,0.396699297,-0.422190345,0.248089616,0.717232416,0.029675808,0.580701753,0.041194647,0.686742645
-0.555166758,0.748829223,-0.041194647,0.278110035,-0.106728499,0.003475833,-0.041194647,0,0.348392741,-0.461994103,0.124044808,0.940113838,-0.06619988,0.580701753,-0.041194647,0.7796475
-0.570645385,0.804210148,-0.082389295,-0.020550003,-0.016095945,-0.37864851,-0.082389295,0,0.09734503,0.028596875,0.082696539,0.574588306,-0.228275447,0.580349385,-0.082389295,0.578772138
0.876090293,-1.26505856,-0.205973236,1.841280232,0.977395329,-1.086089057,-0.205973236,0,1.295494015,-0.424895455,-0.124044808,0.410993342,0.277735127,0.58105412,-0.205973236,2.53040183
0.347237201,-0.507625515,-0.247167884,1.124770142,0.506898464,-0.26188226,-0.247167884,0,0.748751625,0.049851308,-0.165393078,-0.334322133,0.182620358,0.580877936,-0.247167884,3.035728913
-0.058818783,0.176427804,-0.247167884,0.878170111,0.227571905,0.291426837,-0.247167884,0,0.702640821,-0.02453921,-0.165393078,0.647693413,0.089788342,0.580701753,-0.247167884,2.564927283
-0.119185429,0.126090499,-0.247167884,0.727470092,0.405865453,-0.359205572,-0.247167884,0,0.783883666,-0.405476631,-0.165393078,1.922575147,0.035002235,0.580877936,-0.247167884,1.981133261
-0.289450327,0.280464828,-0.247167884,0.471280059,0.463315597,-0.652587564,-0.247167884,0,0.808768862,-0.464892435,-0.165393078,1.515147907,-0.038806826,0.580701753,-0.247167884,1.402361123
-0.332274528,0.238830239,-0.247167884,-0.149330019,0.4534104,-0.784669202,-0.247167884,0,0.709959997,-0.431175174,-0.165393078,1.814254776,-0.200121475,0.580349385,-0.247167884,0.82861087
-0.489124616,0.087521641,-0.247167884,-0.524710066,0.34891057,-0.718193904,-0.247167884,0,0.689466306,-0.471365376,-0.165393078,1.723764918,-0.450463549,0.579997017,-0.247167884,0.789691268
-0.516470191,-0.01008724,-0.247167884,-0.16029002,0.320680758,-0.950205727,-0.247167884,0,0.630180987,-0.642270347,-0.165393078,1.894492087,-0.563840354,0.579820834,-0.247167884,0.706202446
-0.700149899,0.086532695,-0.247167884,0.16029002,0.131986752,-0.739483378,-0.247167884,0,0.363031091,-0.711250646,-0.124044808,1.664924223,-0.508293329,0.580173201,-0.247167884,0.843676522
-0.931813351,0.363437321,-0.205973236,-0.309620039,0.107719019,-0.639118713,-0.205973236,0,-0.205668824,0.114387499,-0.082696539,1.452295346,-0.385024587,0.580349385,-0.205973236,1.353397754
-1.116009013,0.685932315,-0.164778589,-0.384970049,0.398931815,-1.086414916,-0.164778589,0,-0.420852575,0.318913119,-0.082696539,1.183946114,-0.388829178,0.580173201,-0.164778589,0.858114438
-1.16192894,0.666252308,-0.164778589,-0.71651009,0.495507488,-1.181783072,-0.164778589,0,-0.403286555,0.383159476,-0.041348269,1.104154565,-0.337847661,0.580349385,-0.164778589,1.657849475
1.957014418,-2.686963812,-0.164778589,2.953720372,1.701960501,-2.408208869,-0.164778589,0,1.692193312,-1.434384452,-0.124044808,2.239512529,0.757874484,-0.153456076,-0.164778589,0.441298062
0.823978915,-0.84505358,-0.247167884,1.178200148,1.279503843,-1.679478848,-0.247167884,0,1.189365974,-1.047650367,-0.165393078,1.281568177,0.666564305,0.371395417,-0.247167884,0.848698406
0.378194455,0.035997601,-0.247167884,0.331540042,0.838722569,-0.721452497,-0.247167884,0,0.961007707,-0.68255716,-0.206741347,0.369091635,0.624713806,0.578587547,-0.247167884,0.848698406
0.116089703,0.256136779,-0.288362531,0.738430093,1.007110921,-1.277911567,-0.288362531,0,0.578214843,0.004444109,-0.206741347,-0.209062774,0.514380674,0.579468466,-0.288362531,0.657239076
-0.11815352,0.505647625,-0.288362531,0.331540042,0.630218169,-1.028955059,-0.288362531,0,-0.038059711,0.956449523,-0.206741347,-0.118127154,0.456550894,-0.014623254,-0.288362531,0
0.051079469,0.289859806,-0.288362531,-0.353460045,0.723822282,-1.26205308,-0.288362531,0,-0.059285319,1.200972124,-0.248089616,0.191678023,0.298279917,0.176712336,-0.288362531,0.06842317
-0.142919323,0.437608203,-0.288362531,-0.16029002,0.541071395,-0.865373689,-0.288362531,0,-0.108323793,1.172182027,-0.248089616,-0.153342418,0.186424948,-0.060959589,-0.288362531,0.215941014
-0.325567123,0.518108333,-0.288362531,0.064390008,0.351882129,-0.690713103,-0.288362531,0,-0.244460452,1.229375776,-0.248089616,0.174293272,-0.268604109,-0.369457395,-0.288362531,1.157544275
-0.65887356,0.598608463,-0.288362531,-0.342500043,0.223609826,-1.320056036,-0.288362531,0,-0.466231462,1.217492616,-0.206741347,0.198364466,-0.111094051,-0.770980239,-0.288362531,0.146890109
-1.022621296,0.706502373,-0.288362531,-0.55622007,-0.222124046,-1.142679956,-0.288362531,0,-0.703372739,1.116534055,-0.206741347,-0.180979715,-0.068482634,-0.683769266,-0.288362531,-0.421838261
