S7_T,S7_H,S7_R,S7_P,S8_T,S8_H,S8_R,S8_P,S9_T,S9_H,S9_R,S9_P,S4_T,S4_H,S4_R,S4_P
9.462,99.739,740.492,0.85,6.731,99.826,300.821,1.4,6.676,99.92,572.428,0.85,11.927,99.82,474.276,0.85
9.342,99.738,341.645,0.77,6.654,99.83,436.569,1.26,6.592,99.922,1179.44,0.77,11.883,99.829,1072.092,0.77
9.196,99.737,285.492,0.59,6.517,99.83,408.037,0.92,6.636,99.919,412.71,0.59,11.666,99.825,642.144,0.59
9.077,99.737,523.06,0.36,6.394,99.829,676.647,0.58,6.54,99.917,86.537,0.36,11.582,99.818,373.501,0.36
9.179,99.738,623.365,0.58,6.443,99.825,680.017,0.25,6.513,99.92,327.062,0.58,12.094,99.828,298.531,0.58
10.534,92.608,443.54,0.46,6.925,99.836,330.007,0.23,7.021,99.927,353.133,0.46,13.413,92.101,404.077,0.46
13.02,79.328,1105.187,0.38,7.285,99.84,395.438,0.2,8.926,93.755,362.554,0.38,16.018,67.798,145.05,0.38
13.116,74.954,213.329,0.51,8.19,99.849,292.89,0.25,11.171,79.045,246.72,0.51,16.863,57.028,568.389,0.51
12.152,79.026,182.445,0.82,9.007,92.762,54.833,0.36,11.317,74.574,77.471,0.82,18.592,52.741,67.764,0.82
14.091,65.584,21.626,1.29,9.491,90.526,15.687,0.55,8.248,83.338,28.665,1.29,18.498,55.225,11.052,1.29
14.959,60.206,0,1.82,9.46,91.667,0.103,0.77,9.717,83.063,0,1.82,15.306,63.852,0,1.82
8.546,94.477,67.047,2.4,6.11,99.825,168.741,0.8,4.711,99.909,179.896,2.4,10.951,0,112.701,2.4
8.388,97.966,115.228,1.96,6.05,99.827,254.154,0.67,5.524,99.911,335.838,1.96,10.951,0,207.414,1.96
7.858,99.718,303.426,1.76,5.683,99.816,168.122,0.64,5.56,99.909,266.205,1.76,11.05,99.812,335.289,1.76
6.113,95.262,412.22,1.68,5.515,99.82,437.177,0.64,5.136,99.916,501.889,1.68,10.868,99.815,473.501,1.68
5.363,93.323,572.139,1.53,5.812,99.823,379.595,0.6,4.721,99.911,441.584,1.53,10.844,99.812,613.203,1.53
5.013,99.695,371.806,0.08,5.201,99.813,728.037,0.08,4.819,99.908,106.073,0.08,11.138,99.818,584.182,0.08
8.12,92.254,618.965,0.09,6.166,99.825,1007.996,0.08,6.944,87.911,206.377,0.09,11.874,85.723,122.079,0.09
9.546,84.277,274.306,0.1,6.89,98.481,1076.346,0.08,7.673,91.932,184.699,0.1,13.015,77.267,86.845,0.1
10.784,79.831,78.805,0.1,7.546,96.215,62.269,0.08,7.919,90.487,230.62,0.1,13.887,75.696,91.641,0.1
12.09,75.415,112.282,0.11,8.363,87.496,142.019,0.07,9.067,89.346,59.984,0.11,15.68,64.95,102.881,0.11
13.829,71.299,65.583,0.11,8.74,94.903,39.808,0.07,9.814,80.245,12.911,0.11,17.763,51.679,53.646,0.11
14.377,66.704,0,0.13,10.368,84.867,0,0.08,8.154,98.246,0,0.13,18.139,51.289,0,0.13
7.875,99.726,69.13,0.13,3.911,93.069,197.295,0.12,5.993,99.921,104.857,0.13,10.554,99.81,159.695,0.13
8.046,99.729,331.113,0.11,4.492,94.005,255.261,0.11,5.467,99.917,261.277,0.11,10.419,99.817,302.946,0.11
7.665,99.727,1205.39,0.1,5.265,96.954,492.082,0.1,4.98,99.915,489.265,0.1,10.443,99.812,491.502,0.1
8.099,99.727,144.662,0.09,5.06,95.313,338.923,0.09,5.376,99.918,348.394,0.09,9.777,99.8,556.111,0.09
7.374,89.57,120.953,0.07,5.472,92.665,292.875,0.07,5.011,99.912,733.061,0.07,9.191,99.795,1161.257,0.07
7.437,99.089,137.85,0.07,6.081,99.608,192.716,0.13,5.096,99.912,508.255,0.07,9.349,99.801,1222.163,0.07
8.249,98.986,118.518,0.06,7.181,99.839,367.21,0.11,5.745,99.914,480.227,0.06,10.068,99.809,1010.372,0.06
10.913,84.607,156.542,0.05,7.284,98.342,105.305,0.09,6.577,99.921,312.26,0.05,11.357,93.09,894.739,0.05
14.417,78.129,118.112,0.05,9.703,87.025,183.872,0.09,7.939,99.931,636.065,0.05,13.217,76.647,739.526,0.05
11.059,81.052,146.252,0.06,9.792,83.496,94.617,0.09,7.476,99.929,368.27,0.06,15.111,68.946,306.91,0.06
11.73,82.203,34.683,0.07,9.509,89.164,27.326,0.1,9.753,87.159,39.172,0.07,16.297,66.888,22.745,0.07
12.385,79.19,0,0.08,9.293,87.587,0,0.1,9.77,91.591,0,0.08,18.146,50.975,0,0.08
7.764,99.729,64.795,0.11,5.718,99.821,148.391,0.08,5.455,99.911,124.629,0.11,10.56,99.814,158.466,0.11
7.887,99.726,121.459,0.08,5.963,95.237,411.478,0.06,5.144,99.912,161.034,0.08,10,99.81,526.206,0.08
7.63,99.729,98.751,0.06,5.973,97.42,590.166,0.05,5.207,99.915,212.157,0.06,10.068,99.809,458.909,0.06
8.08,99.724,68.615,0.04,5.624,96.852,1216.576,0.03,4.904,99.912,383.03,0.04,10.084,99.811,539.961,0.04
7.705,99.727,282.339,0.04,5.761,98.401,1320.442,0.03,4.904,99.916,474.437,0.04,10.098,99.806,394.585,0.04
7.656,99.725,331.368,0.05,6.324,99.534,866.375,0.05,5.172,99.913,457.627,0.05,10.03,99.808,554.164,0.05
8.422,99.736,545.099,0.05,6.796,99.828,1355.319,0.04,4.948,99.913,254.974,0.05,10.508,99.816,906.313,0.05
9.346,82.199,250.013,0.05,8.853,83.111,1147.214,0.05,5.835,99.92,179.847,0.05,12.634,87.723,718.902,0.05
9.924,87.218,102.049,0.06,9.25,77.503,352.355,0.06,6.058,99.923,193.165,0.06,13.223,70.373,153.794,0.06
10.137,81.97,59.723,0.07,10.07,78.117,117.998,0.08,6.682,99.923,92.29,0.07,14.676,65.134,167.843,0.07
11.543,67.401,65.688,0.1,12.647,75.323,20.298,0.11,8.178,90.078,30.952,0.1,14.874,61.47,16.963,0.1
12.392,72.047,0,0.15,12.675,68.172,0,0.16,9.056,80.852,0,0.15,16.36,55.903,0,0.15
6.85,99.72,98.888,0.14,6.153,98.602,75.082,0.15,3.969,99.906,189.293,0.14,10.097,99.808,88.248,0.14
7.162,99.719,343.119,0.13,6.26,81.118,223.98,0.16,3.069,99.899,366.376,0.13,10.02,99.803,319.119,0.13
