Temperatura,Humedad,Radiacion ,Precipitacion,V_Viento
-0.200468835,0.175000486,-0.114305447,-0.164066454,0.197070924
-0.533949909,0.415259757,-0.114305447,-0.300788499,-1.079530104
-0.449764947,0.412438948,0.129351055,-0.328132908,-0.406886393
0.631169962,-0.924844886,1.410355942,-0.314460704,0.022940182
1.420336087,-1.747735952,2.315468461,-0.191410863,1.731514236
1.483013149,-1.793089642,1.628033397,-0.068361023,2.095874092
0.457151499,-0.678821355,0.027492262,-0.095705432,1.762906064
-0.07489746,0.184223303,-0.114305447,-0.164066454,0.324784688
-0.382091101,0.568858894,-0.114305447,-0.191410863,-0.19519278
-0.458780885,-0.037001645,-0.114305447,-0.232427477,0.742000871
-0.581419365,-0.886530952,0.004395405,-0.287116295,1.286930818
0.295624998,-1.879970534,1.226476688,-0.314460704,0.530307258
1.153768479,-2.354479526,3.397587824,-0.27344409,1.911547714
0.748920282,-1.469015576,1.210013588,-0.205083068,2.301396662
-0.027753881,-0.572685381,0.001547308,-0.246099681,1.716489087
-0.2635804,-0.450875526,-0.114305447,-0.246099681,0.016500833
-0.527975492,-0.163251207,-0.114305447,-0.314460704,-0.299832209
-1.078382204,0.148386774,-0.114305447,-0.27344409,-0.717048392
-0.932823689,-0.184910108,-0.016366065,-0.164066454,-0.641654342
0.509509114,-1.546649122,1.757843399,-0.068361023,-0.149044109
1.099238349,-1.788919751,1.810184387,0.068361023,1.689390158
1.075014805,-1.60595968,1.166313925,-0.054688818,1.586628873
0.110743959,-0.725793943,-0.004386226,0.082033227,1.758344858
-0.281395024,-0.124986331,-0.114305447,0.246099681,-0.216120666
-0.461605155,-0.162368171,-0.114305447,-0.054688818,-0.365030622
-0.652134733,-0.347658475,-0.114305447,-0.232427477,-0.008451646
-0.947053663,0.326858081,-0.027321796,-0.259771886,-0.371469971
-0.462474161,0.223567444,0.694929019,0.382821726,-0.67519262
0.688850239,-1.139201778,1.592070276,0.505871567,0.534331851
0.170053623,-1.074445834,0.80425292,0.109377636,2.374912568
-0.547528129,0.06116248,-0.045724277,0.082033227,0.727244028
-0.8375589,0.539228144,-0.114305447,0.027344409,-0.691827606
-0.815073369,-0.734673357,-0.114305447,-0.041016614,0.096187782
-1.109557796,-0.302795361,-0.114305447,-0.191410863,-0.49247608
-1.368521601,0.061015307,0.051711574,-0.300788499,-0.362884172
-0.269337565,-0.724542976,1.095424905,-0.27344409,0.257708131
0.657131518,-1.766353286,1.72118399,-0.218755272,1.314029747
0.594128579,-1.516012693,1.363513145,-0.15039425,2.054018321
-0.191018394,-0.435446932,-0.038415211,-0.177738659,0.677070764
-0.570122286,-0.020199439,-0.114305447,-0.246099681,0.28266061
-0.46660194,-0.46829095,-0.114305447,-0.328132908,0.081967552
-0.69113138,-0.48499504,-0.114305447,-0.355477317,0.140190004
-1.173864244,0.067490902,0.096726449,-0.328132908,-0.031525982
0.148219846,-0.902450121,1.400652482,-0.314460704,-0.022940182
1.165391435,-1.792672653,1.821966223,-0.191410863,1.515259417
0.986267562,-1.413310746,1.203276239,-0.082033227,1.481721138
-0.058169093,-0.351386848,-0.012731202,-0.259771886,1.762369452
-0.348525742,0.040460201,-0.114305447,-0.355477317,-0.488719792
-0.534710289,-0.028097702,-0.114305447,-0.355477317,-0.033672431
-0.688089858,-0.708991738,-0.114305447,-0.355477317,0.808809121
-0.93944986,-0.648773616,0.070696262,-0.382821726,-0.718926535
0.057191461,-1.115556047,1.099879317,-0.396493931,0.802638078
0.97019095,-1.672457167,2.194753485,-0.355477317,1.561676394
1.323985041,-1.836775375,1.264549655,-0.355477317,1.662022923
-0.064034884,-0.080294918,-0.02807447,-0.355477317,1.949378892
-0.449330444,0.611906879,-0.114305447,-0.355477317,0.440156365
-0.592933695,0.660007791,-0.114305447,-0.369149522,-0.199217374
-0.669949357,0.606118091,-0.114305447,-0.396493931,-0.371201665
-0.64811558,0.452052907,0.092852933,-0.041016614,-0.331492343
0.507662476,-0.793027293,1.432271338,1.462925883,-0.517965171
1.563070332,-1.817324063,2.646862598,1.927780837,2.022626492
1.278796726,-1.599165212,1.373899781,1.531286906,2.148462112
0.270641074,-0.51980136,-0.018489025,0.683610226,1.471257196
-0.230232292,0.186945996,-0.114305447,0.478527158,0.779563742
-0.37980996,0.614923918,-0.114305447,0.095705432,-0.320760094
-0.474857497,0.774115614,-0.114305447,-0.218755272,-0.916131612
-0.503860574,0.687455481,0.005980741,-0.232427477,-0.400447044
-0.050782541,0.106123709,0.811639351,0.451182749,1.152777704
0.54622462,-0.701044418,1.378419758,1.025415339,1.223878854
0.268359933,-0.161705895,0.729288447,0.464854953,0.924180799
-0.170488126,0.15603975,-0.039477347,0.109377636,0.584505115
-0.46377767,0.597189619,-0.114305447,-0.15039425,-0.232755652
-0.458998137,0.466794695,-0.114305447,-0.15039425,-0.367177072
-0.562844361,0.675019396,-0.114305447,-0.068361023,-0.775807455
-0.521566573,0.601285923,-0.00605155,-0.27344409,-1.023185797
0.095536353,0.096189559,0.83041948,-0.246099681,-0.47396295
0.499732796,-0.312974799,1.317466294,-0.218755272,1.416791031
0.540141577,-0.461153079,0.956800489,-0.218755272,1.079530104
-0.119325394,0.108772816,-0.031285791,-0.287116295,1.186315983
-0.317893278,0.187289398,-0.114305447,-0.314460704,0.360469416
-0.480506037,0.093491394,-0.114305447,-0.314460704,-0.830273619
