S6_T,S6_H,S6_P,S6_V,S2_T,S2-H,S2_P,S2_V,S3_T,S3_H,S3_P,S3_V,S5_T,S5_H,S5_P,S5_V
1.017368604,-1.55083064,-0.124044808,1.210620664,-0.078273437,-1.443750955,-0.123583942,0.308443144,0.360968681,-2.181279385,-0.123583942,0.530534328,0.743039491,-2.378441856,-0.123583942,1.726674903
0.474547643,-1.221724351,-0.124044808,-0.026558406,-0.448173226,-0.632597591,-0.123583942,-0.157726608,-0.137707208,-1.051021791,-0.123583942,1.014405981,0.260750006,-1.676537359,-0.123583942,0.280721896
0.622633432,-1.455487629,-0.082696539,-0.492437107,-0.640389009,-0.464730873,-0.123583942,-0.25411509,-0.257248784,-0.956458407,-0.123583942,0.942383156,-0.089904137,-0.986206456,-0.123583942,0.010977951
0.261073323,-0.77544002,-0.124044808,1.063442832,-0.783725177,-0.178798705,-0.205973236,-0.485447448,-0.360382693,-0.959056302,-0.205973236,0.902821323,-0.343652264,-0.662418115,-0.205973236,0.293268126
0.062022944,-0.528832606,-0.124044808,1.711910573,-0.84713657,-0.523277731,-0.205973236,-0.58183593,-0.388510123,-1.386323462,-0.205973236,0.268817585,-0.189050756,-1.031683876,-0.205973236,1.456930958
-0.089428431,-0.267207433,-0.124044808,1.478417922,-0.985188455,-0.473962328,-0.247167884,0.157726608,-0.222089497,-1.809953568,-0.247167884,-0.039561833,-0.224340231,-1.166754538,-0.247167884,-0.282290175
-0.202896763,-0.327772475,-0.165393078,0.55330012,-0.83722854,-0.435821843,-0.247167884,-0.609876216,-0.104891873,-2.233756868,-0.247167884,0.721242653,-0.333009406,-1.106163364,-0.247167884,0.293268126
-0.341366592,-0.153092223,-0.165393078,1.555879939,-0.757964299,-0.804108306,-0.288362531,-0.623896359,-0.120713552,-2.422017671,-0.288362531,0.673565571,-0.400787604,-1.047478429,-0.288362531,-0.098801561
-0.400504748,-0.09904805,-0.165393078,-0.043157409,-0.760606441,-1.090769273,-0.288362531,-0.774612895,-0.310573703,-2.347717869,-0.288362531,0.561980914,-0.806896636,-0.570237835,-0.288362531,0.196034844
-0.498587544,0.123945914,-0.165393078,0.206934245,-0.791651601,-1.524161785,-0.288362531,-0.883269002,-0.754752697,-1.97968272,-0.288362531,0.609657995,-0.503295125,-1.220946195,-0.288362531,0.771593145
-0.522627445,0.047276301,-0.206741347,0.362964879,-0.841191752,-1.936419125,-0.288362531,-0.951617199,-0.593605964,-2.256271959,-0.288362531,0.40373358,-0.653975579,-1.159265741,-0.288362531,-0.588104531
-0.554840912,0.047078699,-0.206741347,-0.251198255,-1.120598199,-1.480190908,-0.288362531,-1.198722218,-1.360078423,-1.207415081,-0.288362531,-0.008115248,-0.97158085,-0.825946205,-0.288362531,0.061162871
1.597211013,-2.155987055,-0.165393078,-0.786792771,0.010898833,-0.829859206,-0.205973236,2.539398382,0.467618519,-1.768214052,-0.205973236,3.216681366,0.931250022,-2.164126109,-0.205973236,2.780558222
0.925055385,-1.162937728,-0.206741347,1.728509576,-0.269828685,-0.031824226,-0.247167884,1.184702075,-0.112509719,-0.605049786,-0.247167884,1.10063049,0.336370309,-1.304003759,-0.247167884,1.60434916
0.628883806,-0.947551445,-0.248089616,1.201767862,-0.257939049,0.479306854,-0.288362531,1.854163898,-0.020509584,-0.63345344,-0.288362531,0.221140504,0.187930456,-0.954208869,-0.288362531,0.697884043
0.422621457,-0.692842345,-0.248089616,1.902245814,-0.362303632,0.525707061,-0.288362531,1.293358182,0.110751754,-1.056390775,-0.288362531,-0.777034982,0.056295114,-0.634096847,-0.288362531,0.649267402
0.132700253,-0.056958804,-0.248089616,1.408702107,-0.46468661,0.442381035,-0.288362531,0.678224413,0.099031992,-1.183687638,-0.288362531,-0.246500653,0.235543239,-1.011804525,-0.288362531,1.640419572
-0.039425437,0.2546597,-0.248089616,1.020285422,-0.606701707,0.425375723,-0.288362531,-0.007010071,-0.161146733,-1.049982633,-0.288362531,-0.047677081,0.02100564,-1.060141304,-0.288362531,2.548452967
-0.097601997,0.059231228,-0.248089616,1.262630875,-0.662186675,0.481007385,-0.288362531,0.047317982,-0.434217196,-0.77547171,-0.288362531,0.062893171,-0.292678578,-0.950668711,-0.288362531,1.652965802
-0.246649383,-0.111595783,-0.248089616,1.201767862,-0.802220167,0.192645887,-0.288362531,0.129686322,-0.219745544,-1.532151978,-0.288362531,0.902821323,-0.371659783,-0.862028589,-0.288362531,2.375942305
-0.430314225,0.00281583,-0.248089616,1.685352167,-1.200522975,-1.063560774,-0.288362531,-0.294423001,-0.554930748,-1.751241137,-0.288362531,1.449586147,-0.415351514,-1.233064429,-0.288362531,0.268175666
-0.504837918,-0.20565438,-0.248089616,1.444113314,-1.266576509,-1.091012206,-0.288362531,0.553795644,-0.444178994,-3.288502309,-0.288362531,1.457701395,-0.540825201,-2.136621801,-0.288362531,2.62059379
-0.639461363,-0.732461565,-0.248089616,1.123199245,-1.642421115,-0.114178521,-0.288362531,-0.021030214,-0.643414954,-3.125527685,-0.288362531,1.195984652,-0.594599638,-2.702094037,-0.288362531,1.224825703
-0.942844912,-0.384187873,-0.206741347,0.258944456,-1.589578288,-0.637456252,-0.288362531,-0.718532323,-1.204791572,-2.830753179,-0.288362531,0.039561833,-0.848347765,-2.373403939,-0.288362531,1.237371933
1.13227933,-1.481669907,-0.206741347,1.642194758,0.047888812,0.022106905,-0.288362531,1.293358182,0.56079063,-1.376971039,-0.288362531,3.043217943,1.033757543,-1.940687645,-0.288362531,2.437105176
0.728889794,-0.645813046,-0.206741347,-0.907412198,-0.128474123,0.56093235,-0.288362531,1.1969697,-0.008203834,0.142970831,-0.288362531,1.9334578,0.497693621,-0.980079258,-0.288362531,1.714128673
0.478874825,-0.137778061,-0.206741347,-0.086314819,-0.066383801,0.634298123,-0.288362531,1.279338039,-0.060356776,0.420426036,-0.288362531,0.919051819,0.234983088,-0.349931049,-0.288362531,0.685337813
0.334154622,0.11129938,-0.206741347,0.172629638,-0.267186544,0.651060501,-0.288362531,2.004880434,-0.056254859,0.30854335,-0.288362531,0.776020576,0.13639662,-0.049289899,-0.288362531,0.722976503
0.230783048,0.26127937,-0.206741347,0.18148244,-0.402596288,0.661749554,-0.288362531,1.677159594,-0.237911176,0.432376354,-0.288362531,1.014405981,0.080381581,0.052830057,-0.288362531,0.575558301
0.171644892,0.213756066,-0.206741347,1.936550422,-0.430999307,0.665636483,-0.288362531,0.539775501,-0.317019572,0.426314598,-0.288362531,0.094339756,-0.077020679,0.030091347,-0.288362531,0.991152169
0.131257859,0.144496532,-0.248089616,1.564732741,-0.501016053,0.669523411,-0.288362531,0.869248859,-0.360968681,0.512218332,-0.288362531,-0.174477829,-0.144798876,-0.048881419,-0.288362531,0.366977227
0.026443891,0.273234296,-0.248089616,1.451859516,-0.539987638,0.659320224,-0.329557178,-0.993677628,-0.451210851,0.562444305,-0.329557178,0.372286995,-0.35205452,0.144329538,-0.329557178,-0.686906092
-0.069234914,0.456905444,-0.248089616,0.501289909,-0.525455861,0.602473897,-0.329557178,-0.595856073,-0.466446542,0.321013247,-0.329557178,-0.143031243,-0.386783844,0.157264732,-0.329557178,-0.417162147
-0.097601997,0.443666103,-0.248089616,0.345259275,-0.624536161,0.491453505,-0.329557178,-0.636163984,-0.526217331,0.404145893,-0.329557178,-0.151146491,-0.413671062,0.11519131,-0.329557178,0.133303694
-0.162028932,0.533476255,-0.248089616,0.267797258,-0.643031151,0.426590388,-0.329557178,-0.473179823,-0.552000808,0.395313049,-0.329557178,-0.063907577,-0.51113723,0.289476035,-0.329557178,-0.172510662
-0.147124193,0.351978731,-0.248089616,1.01143262,-0.676718453,0.359055008,-0.329557178,-0.404831626,-0.635797109,0.465109833,-0.329557178,-0.198823572,-0.647253775,0.385196474,-0.329557178,-0.748068963
2.031852421,-2.967242455,0.826965388,2.281809697,0.804862308,-1.865239749,0.700309003,1.430054575,1.01844735,-2.014667708,0.700309003,2.401098957,1.650483122,-2.624482871,0.700309003,1.665512032
1.765971117,-2.77714924,0.909661927,1.46956512,0.306158129,-0.698189508,0.659114356,-0.157726608,0.607669679,-1.36727223,0.659114356,1.497263228,1.11497935,-1.960566996,0.659114356,2.082674179
1.684716252,-2.621339988,0.744268849,1.988560633,0.280397251,-0.276214847,0.659114356,0.66420427,0.328739335,-0.790539502,0.659114356,1.909112056,0.815298892,-1.581497719,0.659114356,1.726674903
1.27796113,-1.763845698,0.413482694,0.760234366,0.277094574,-0.306338542,0.535530414,1.060273306,0.308815739,-0.570064798,0.535530414,1.299454062,0.428234973,-0.805386053,0.535530414,1.494569648
0.642346151,-0.662905627,0.330786155,1.123199245,0.146308577,0.439465838,0.45314112,0.334730912,0.18986015,-0.478618888,0.45314112,0.784135823,0.114550755,-0.313031705,0.45314112,0.881372657
0.28367083,0.101122872,0.206741347,-0.18148244,0.082236649,0.550243297,0.329557178,0.800900663,0.165248649,-0.141412094,0.329557178,0.126800748,0.046772558,-0.060863494,0.329557178,-0.294836405
0.105775564,0.425091506,0.041348269,0.371817681,-0.05383363,0.643286644,0.164778589,0.553795644,-0.031643358,0.595524171,0.164778589,-0.095354162,-0.056295114,0.25475525,0.164778589,-0.919011347
0.033655861,0.542862355,-0.041348269,0.302101866,-0.064402195,0.662964219,0,0.841208574,-0.113095707,0.728536403,0,-0.198823572,-0.102787596,0.504336423,0,-0.735522733
0.005769576,0.618346355,-0.124044808,0.285502862,-0.17140892,0.668308746,-0.082389295,1.347686236,-0.113095707,0.761789462,-0.082389295,-0.895720481,-0.184569553,0.783872783,-0.082389295,-0.478325018
-0.010096758,0.64334302,-0.165393078,0.120619426,-0.231517636,0.672438607,-0.164778589,0.431119394,-0.155286851,0.770449112,-0.164778589,-0.8480434,-0.154881583,0.771209908,-0.164778589,-0.895487166
0.018751123,0.638007763,-0.165393078,0.120619426,-0.281057786,0.664907684,-0.205973236,-0.294423001,-0.223847461,0.774432552,-0.205973236,-0.674579977,-0.09326504,0.567923116,-0.205973236,0.403047639
0.037502245,0.639193376,-0.165393078,0.043157409,-0.327295259,0.649602903,-0.205973236,1.074293449,-0.283618249,0.776337675,-0.205973236,-0.515318238,-0.229941735,0.536061689,-0.205973236,0.010977951
1.089488307,-1.478508273,0.124044808,0.838802983,-0.079594508,0.444567432,0.205973236,1.608811397,0.365070598,-0.753822583,0.205973236,1.133091481,0.484810162,-0.592295745,0.205973236,1.899185565
0.663501264,-0.687309486,0.124044808,-0.31980747,-0.226233353,0.547571033,0.123583942,0.553795644,0.046879049,-0.08599033,0.123583942,0.680666413,0.180648501,-0.144193378,0.123583942,1.138570372
0.207223945,0.149732987,0,0.752488164,-0.245388878,0.549757431,0,0.047317982,-0.103133909,0.206532666,0,-0.546764824,0.057415415,0.077066527,0,-0.821778065
0.06779252,0.435268014,-0.082696539,0.440426896,-0.234820312,0.576722996,-0.123583942,0.841208574,-0.199821948,0.49715054,-0.123583942,0.054777923,-0.095505641,0.450417086,-0.123583942,-0.01254623
-0.012500748,0.627139648,-0.082696539,0.510142711,-0.271149756,0.601502165,-0.123583942,1.566750969,-0.129503374,0.353746726,-0.123583942,0.657335076,-0.242825194,0.536061689,-0.123583942,-0.355999276
-0.037502245,0.657372769,-0.082696539,1.020285422,-0.310781876,0.613405883,-0.123583942,2.937219937,-0.02168156,-0.082699663,-0.123583942,0.807467161,-0.187930456,0.482823152,-0.123583942,0.133303694
-0.09952519,0.655396748,-0.041348269,1.262630875,-0.335882219,0.562632881,-0.082389295,1.335418611,-0.113681695,-0.081314119,-0.082389295,-0.365186153,-0.19465226,0.556758,-0.082389295,0.47675674
-0.1211611,0.502156323,0.082696539,1.340092892,-0.301534381,0.560203551,-0.041194647,0.951617199,-0.271312499,0.300749665,-0.041194647,-0.785150229,-0.086543235,0.017973112,-0.041194647,0.428140099
-0.166836912,0.599574156,0.206741347,-0.371817681,-0.314084553,0.596643504,0,1.267070414,-0.27717238,0.403453121,0,-0.579225815,-0.193531959,0.206282311,0,0.170942384
-0.194723197,0.636426947,0.248089616,0.31980747,-0.371551127,0.631382926,0.041194647,1.074293449,-0.33635718,0.640207968,0.041194647,-0.618787648,-0.29547933,0.485954831,0.041194647,0.525373381
-0.201935167,0.640082585,0.124044808,1.029138224,-0.427036095,0.663693018,-0.041194647,1.74550779,-0.353350836,0.56331027,-0.041194647,-0.689796067,-0.287637225,0.409024464,-0.041194647,-0.185056892
-0.224051876,0.695015968,0.082696539,0.371817681,-0.469970892,0.691873249,-0.082389295,1.82787613,-0.385580182,0.564349428,-0.082389295,-0.880504392,-0.320686098,0.423729738,-0.082389295,-0.123894021
1.105354641,-1.42535331,-0.124044808,0.769087167,0.089502538,0.257023138,-0.205973236,1.540463201,0.290064119,-0.508234893,-0.205973236,1.893895967,0.629889113,-0.763584951,-0.205973236,1.861546875
0.708215479,-0.654606339,-0.165393078,-0.657320543,-0.085539326,0.412014407,-0.247167884,2.471050185,0.219159556,-0.461299587,-0.247167884,1.243661733,0.363817678,-0.381111676,-0.247167884,1.347151445
0.331269834,0.181052919,-0.165393078,1.305788284,-0.149611254,0.273785517,-0.247167884,1.554483343,0.304127834,-1.007550345,-0.247167884,1.521608972,0.123513161,-0.037716304,-0.247167884,1.260896114
0.164432922,0.485063742,-0.165393078,-0.829950181,-0.160179819,0.112963856,-0.247167884,2.621766721,-0.008789822,-0.275117099,-0.247167884,0.86325949,0.033889099,-0.172242326,-0.247167884,1.61689539
0.390888788,-0.463426313,-0.165393078,-0.328660272,-0.225572818,0.026236766,-0.247167884,2.115289059,0.0591848,-0.554131041,-0.247167884,0.023331338,-0.011483083,-0.180411922,-0.247167884,1.003698399
0.45820051,-0.781269282,-0.165393078,1.711910573,-0.357679885,-0.008502656,-0.247167884,-0.280402858,-0.04980899,-0.623927824,-0.247167884,-1.022521229,-0.07982143,-0.075568767,-0.247167884,1.224825703
0.009135162,0.190735422,-0.165393078,0.199188043,-0.444210014,-0.076038036,-0.247167884,-0.212054661,-0.237325188,-0.724552964,-0.247167884,-0.587341063,-0.181208651,-0.307993787,-0.247167884,0.893918887
0.04615661,-0.184609757,-0.165393078,-0.371817681,-0.608022778,0.283745771,-0.247167884,2.169617113,-0.235567224,-1.150607773,-0.247167884,-0.483871653,-0.186250004,-0.646215082,-0.247167884,1.886639335
-0.272131678,0.181546925,-0.124044808,1.590184546,-0.697855584,0.289576163,-0.247167884,1.225009985,-0.639313037,-0.369334097,-0.247167884,-0.681680819,-0.339171061,-0.577181992,-0.247167884,1.077407501
-0.449546146,0.493264229,-0.082696539,1.106600241,-0.70974522,0.531780387,-0.205973236,2.197657399,-0.438905101,-0.480870397,-0.205973236,0.316494666,-0.529622193,-0.134662182,-0.205973236,1.176209062
-0.470220461,0.469453177,-0.082696539,1.374397499,-0.684644877,0.530322789,-0.164778589,2.758463115,-0.26779657,-0.659086006,-0.164778589,0,-0.455682342,-0.177824883,-0.164778589,0.991152169
-0.454834924,0.504626349,-0.041348269,1.106600241,-0.65161811,0.410799742,-0.164778589,2.004880434,-0.268382558,-0.562617498,-0.164778589,-0.681680819,-0.387904145,-0.18640296,-0.164778589,0.537919611
1.514032956,-2.239572741,-0.124044808,1.227219667,0.582922435,-0.056603394,-0.164778589,0.240094947,1.285657932,-2.612183598,-0.164778589,2.091705133,1.554137255,-2.588400486,-0.164778589,2.584523379
1.067852396,-1.232296063,-0.165393078,0.310954668,0.415806995,0.414929603,-0.247167884,0.841208574,0.491644032,-0.093957209,-0.247167884,1.60783348,0.735197386,-1.210325719,-0.247167884,1.996418848
0.445218964,0.045102678,-0.206741347,0.397269486,0.306818664,0.548785699,-0.247167884,2.169617113,0.214471651,0.515855385,-0.247167884,0.229255752,0.345892865,-0.106749394,-0.247167884,0.967627988
0.242802999,0.44998937,-0.206741347,-0.224639849,0.269828685,0.595185906,-0.288362531,1.922512094,0.167592602,0.2602225,-0.288362531,0.126800748,0.235543239,-0.07053085,-0.288362531,0.453232558
