S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S4_T,S4_H,S4_P
8.772,90.952,3.58,5.969,99.822,1.34,5.166,99.906,3.58,11.692,0,3.58
8.725,91.552,3.2,6.227,99.828,1.13,4.92,99.903,3.2,11.378,0,3.2
14.877,69.557,0.15,9.957,81.768,0.08,8.525,83.814,0.15,16.602,53.694,0.15
13.298,65.374,0.17,9.621,87.19,0.08,8.411,95.05,0.17,12.479,87.99,0.17
11.538,65.764,0.19,6.836,99.833,0.08,9.196,83.656,0.19,12.358,99.829,0.19
11.984,65.483,0.19,6.832,99.834,0.08,7.233,99.924,0.19,12.415,85.468,0.19
9.959,96.697,0.21,6.461,98.81,0.09,7.314,99.924,0.21,12.264,92.245,0.21
9.248,95.433,0.24,6.436,99.827,0.11,6.602,99.92,0.24,12.107,94.858,0.24
9.402,91.85,0.26,5.711,96.114,0.13,6.438,99.919,0.26,12.312,90.534,0.26
9.096,99.735,0.25,5.558,99.816,0.15,6.318,99.919,0.25,11.406,99.818,0.25
8.693,99.734,0.22,4.929,97.312,0.14,6.119,99.918,0.22,10.775,0,0.22
8.889,99.737,0.19,4.748,91.59,0.14,6.021,99.918,0.19,11.045,99.813,0.19
8.779,99.734,0.17,4.608,90.401,0.13,6.18,99.915,0.17,10.794,99.817,0.17
8.211,99.724,0.14,4.032,93.255,0.13,6.096,99.915,0.14,10.863,99.819,0.14
12.07,72.826,0.09,10.247,94.041,0.1,9.866,91.297,0.09,17.628,52.368,0.09
11.241,81.047,0.1,8.022,99.838,0.09,11.012,80.737,0.1,18.586,47.926,0.1
10.708,90.717,0.1,8.334,99.851,0.07,10.462,72.503,0.1,18.416,44.735,0.1
11.703,80.756,0.12,8.056,99.84,0.07,9.34,82.294,0.12,17.45,49.845,0.12
11.43,77.916,0.15,7.848,99.835,0.08,7.461,99.168,0.15,15.301,58.976,0.15
9.008,94.087,0.19,6.748,99.829,0.1,6.53,99.921,0.19,12.935,71.853,0.19
8.093,97.492,0.23,7.614,93.052,0.12,5.998,99.913,0.23,12.246,77.949,0.23
8.764,91.988,0.25,6.975,99.837,0.11,5.986,99.919,0.25,12.025,79.113,0.25
8.71,93.773,0.24,7.143,97.737,0.1,6.075,99.917,0.24,11.571,83.07,0.24
8.716,95.795,0.23,6.714,99.83,0.1,5.698,99.913,0.23,11.446,82.084,0.23
8.319,99.729,0.2,7.052,98.284,0.1,5.148,99.912,0.2,11.12,84.938,0.2
7.858,99.724,0.16,6.734,99.833,0.1,5.16,99.908,0.16,10.529,94.588,0.16
13.854,66.722,0.19,12.429,71.068,0.2,9.471,83.657,0.19,18.131,50.688,0.19
13.343,67.391,0.22,12.284,72.234,0.23,8.746,82.787,0.22,17.924,51.817,0.22
12.751,66.986,0.23,10.627,72.439,0.23,8.437,93.229,0.23,16.433,55.27,0.23
12.117,72.445,0.23,8.339,87.063,0.2,7.63,99.929,0.23,16.218,56.969,0.23
11.616,71.143,0.21,8.657,92.228,0.17,7.383,99.924,0.21,14.648,63.99,0.21
10.579,82.581,0.19,7.256,99.832,0.14,6.331,99.92,0.19,13.808,65.23,0.19
9.084,94.471,0.16,7.09,99.831,0.1,6.341,97.905,0.16,11.954,93.745,0.16
8.578,99.729,0.14,6.661,99.834,0.09,6.18,99.917,0.14,11.795,83.53,0.14
8.558,99.484,0.13,6.806,83.23,0.08,5.655,99.915,0.13,11.454,90.212,0.13
8.374,99.728,0.12,6.994,82.214,0.09,5.591,99.916,0.12,10.992,99.76,0.12
8.116,99.727,0.12,6.179,95.322,0.1,5.777,99.916,0.12,10.517,99.811,0.12
7.383,99.723,0.13,6.296,97.779,0.12,5.258,99.916,0.13,10.341,99.807,0.13
13.538,67.924,1.19,10.539,76.841,0.28,9.951,81.97,1.19,17.036,52.562,1.19
12.164,73.192,1.18,10.278,73.928,0.27,9.206,91.032,1.18,15.501,65.614,1.18
13.213,68.132,1,13.105,63.483,0.22,9.47,84.722,1,17.725,52.198,1
13.441,67.777,0.78,11.086,83.388,0.16,8.356,93.352,0.78,17.293,50.114,0.78
12.429,65.4,0.72,8.395,98.342,0.15,8.702,97.871,0.72,15.682,58.012,0.72
10.992,81.244,0.75,7.457,99.838,0.15,6.298,99.92,0.75,13.462,70.713,0.75
9.009,91.331,0.79,6.812,89.645,0.13,6.249,99.268,0.79,12.415,78.125,0.79
9.692,87.026,0.83,6.263,88.523,0.13,5.729,99.916,0.83,11.697,86.664,0.83
9.209,94.465,1.11,6.901,83.796,0.18,5.593,99.912,1.11,10.921,99.807,1.11
8.246,99.729,1.69,7.122,80.916,0.33,3.657,99.903,1.69,10.928,99.814,1.69
8.413,99.733,1.64,6.2,87.513,0.34,5.147,99.913,1.64,10.458,99.81,1.64
7.724,99.725,1.33,5.841,90.514,0.31,3.04,99.893,1.33,9.745,99.809,1.33
15.512,59.865,4.11,13.716,64.187,2.42,10.478,80.175,4.11,18.222,46.606,4.11
14.426,66.69,4.12,11.83,81.644,2.28,10.655,80.724,4.12,18.947,44.93,4.12
13.142,64.541,4,10.154,84.972,2.07,8.686,84.912,4,17.877,47.323,4
12.595,62.132,3.91,11.007,67.843,1.94,8.963,84.638,3.91,16.877,50.484,3.91
9.828,92.75,3.92,8.678,99.854,1.76,8.181,93.294,3.92,15.653,54.783,3.92
9.82,89.741,3.88,9.12,86.93,1.71,6.83,99.92,3.88,14.185,65.285,3.88
10.082,91.197,3.81,8.459,76.311,1.73,6.315,99.919,3.81,13.192,76.208,3.81
9.743,98.039,3.98,8.404,78.012,1.92,6.35,99.921,3.98,12.411,80.854,3.98
9.096,99.734,3.79,7.954,80.715,2.01,6.496,99.918,3.79,12.191,82.362,3.79
8.925,99.732,3.93,7.071,87.91,2.09,6.103,99.921,3.93,11.863,85.279,3.93
8.995,99.737,4.03,7.598,85.089,2.14,6.066,99.912,4.03,11.388,90.713,4.03
8.745,99.731,3.71,7.071,90.129,1.96,5.853,99.914,3.71,10.896,99.818,3.71
15.044,62.776,0.06,15.025,57.213,0.04,10.556,96.602,0.06,18.969,49.527,0.06
14.702,55.451,0.07,12.5,60.938,0.05,10.691,98.168,0.07,19.776,42.282,0.07
17.319,50.26,0.08,14.222,62.869,0.06,10.282,82.102,0.08,19.407,42.954,0.08
13.861,60.178,0.08,11,89.307,0.06,10.892,78.431,0.08,19.128,44.338,0.08
12.986,57.768,0.09,8.289,99.846,0.07,9.291,90.646,0.09,16.937,52.673,0.09
11.89,69.296,0.08,7.595,99.833,0.06,6.148,99.922,0.08,14.867,62.438,0.08
9.861,79.821,0.08,5.623,99.82,0.06,5.005,99.908,0.08,13.813,71.752,0.08
10.641,73.777,0.07,6.869,87.685,0.06,5.885,93.704,0.07,13.193,73.788,0.07
10.11,79.57,0.06,6.896,88.44,0.06,4.993,99.914,0.06,12.5,78.993,0.06
9.435,91.14,0.05,6.467,87.601,0.05,5.711,99.92,0.05,11.995,82.073,0.05
8.881,99.736,0.03,5.904,93.66,0.04,5.513,99.915,0.03,11.359,99.817,0.03
